galaxy_id,Galaxy,Type,Magnitude,Constellation,Distance__Mly,Size,Ngc,Messier,Caldwell
1,Antennae Galaxies,galaxy pair,11.2,Corvus,45 Mly,5.2' x 3.1'',,,C60/61
2,Aquarius Dwarf,irregular dwarf,14,Aquarius,3.2 Mly,2.2' x 1.1'',,,
3,Atoms-for-Peace,peculiar,12.7,Aquarius,220 Mly,1.9' x 1.6'',NGC 7252,,
4,Backward Galaxy,unbarred spiral,12.6,Centaurus,200 Mly,1.7' x 1.6'',NGC 4622,,
5,Barnard's Galaxy,barred irregular,9.3,Sagittarius,1.63 Mly,15.5' x 13.5'',NGC 6822,,C57
6,Bear's Paw,compact dwarf,12.3,Lynx,,1.7' x 1.5'',NGC 2537,,
7,Black Eye Galaxy,spiral,8.52,Coma Berenices,17.3 Mly,10.7' x 5.13'',NGC 4286,M64,
8,Bode's Galaxy,spiral,6.94,Ursa Major,12 Mly,26.9' x 14.1',NGC 3031/34,M81,
9,Burbidge's Chain,galaxy group,14.4-17,Sculptor,,,,,
10,Butterfly Galaxies,unbarred spiral,10.9,Virgo,59.4 Mly,4.6' x 2.1'',NGC 4567/4568,,
11,Carafe Group,galaxy group,9.75-13.75,Caelum,143 Mly,,,,
12,Carina Dwarf,spheroidal dwarf,11.3,Carina,0.33 Mly,23.4' x 15.5'',,,
13,Cartwheel Galaxy,lenticular,15.2,Sculptor,500 Mly,1.1' x 0.9'',,,
14,Centaurus A,elliptical,6.84,Centaurus,13 Mly,25.7' x 20'',NGC 5128,,C77
15,Cetus A,barred spiral,9.6,Cetus,47 Mly,7.1' x 6'',,M77,
16,Cigar Galaxy,starburst,8.41,Ursa Major,12 Mly,11.2' x 4.3'',,M82,
17,Circinus Galaxy,Seyfert,12.1,Circinus,13 Mly,6.9' x 3.0'',,,
18,Coddington's Nebula,spiral dwarf,12.8,Ursa Major,,12.0' x 5.5'',,,
19,Coma Cluster,galaxy cluster,12.7,Coma Berenices,321 Mly,,,,C35
20,Coma Pinwheel Galaxy,spiral,10.4,Coma Berenices,45.2 Mly,5.4' x 4.7'',,M99,
21,Comet Galaxy,spiral,18.7,Sculptor,3200 Mly,,,,
22,Copeland Septet,galaxy group,,Leo,,,,,
23,Cosmos Redshift 7,Lyman-alpha emitter,,Sextans,12000 Mly,,,,
24,Cygnus A,radio galaxy,16.2,Cygnus,757 Mly,0.55' x 0.46'',,,
25,Draco Dwarf,spheroidal,10.9,Draco,,35.5' x 24.5'',,,
26,Eye of Sauron,Seyfert,11.5,Canes Venatici,62 Mly,6.4' x 5.5'',,,
27,Eyes Galaxies,galaxy pair,10,Virgo,52 Mly,8.5' x 3.2'',,,
28,Fath 703,spiral,11,Libra,100 Mly,,NGC 5892,,
29,Fireworks Galaxy,spiral,9.6,Cygnus,22.5 Mly,11.5' x 9.8'',,,C12
30,Fornax A,lenticular,9.4,Fornax,62 Mly,12' x 8.5'',NGC 1316,,
31,Fornax Dwarf,elliptical dwarf,9.3,Fornax,0.46 Mly,17' x 12.6'',,,
32,Fourcade-Figueroa object,galaxy shred,11.7,Centaurus,,11.5' x 1.4'',,,
33,Grus Quartet,spiral,,Grus,,,NGC 7582,,
34,Hardcastle Nebula,barred spiral,13.3,Centaurus,,,,,
35,Helix Galaxy,Seyfert,,Ursa Major,42 Mly,,NGC 2685,,
36,Hercules A,radio galaxy,,Hercules,2100 Mly,,,,
37,Hoag's Object,ring,16.2,Serpens,613 Mly,0.28' x 0.28'',,,
38,Hockey Stick Galaxy,barred spiral,11,Canes Venatici,,12.9' x 12.9'',NGC 4565/4657,,
39,Hydra A,galaxy cluster,,Hydra,840 Mly,,,,
40,Integral Sign Galaxy,spiral,16.3,Camelopardalis,151 Mly,,,,
41,Keenan's System,spiral/globular,14.4-17,Ursa Major,17 Mly,,NGC 5216/18,,
42,Kowal's Object,dwarf,15.5,Sagittarius,3.3 Mly,2.9' x 2.1'',,,
43,Large Magellanic Cloud,spiral,0.9,Dorado,0.163 Mly,10.75' x 9.17'',,,
44,Leo I,spheroidal dwarf,11.2,Leo,0.82 Mly,9.8' x 7.4'',,,
45,Leo II,spheroidal dwarf,12.6,Leo,0.69 Mly,12' x 11'',,,
46,Leo III,irregular,12.9,Leo,2.6 Mly,5.1' x 3.1'',,,
47,Leo Triplet,galaxy group,8.9,Leo,35 Mly,,,M65/66,
48,Lindsay-Shapley Ring,lenticular/ring,14,Volans,300 Mly,1.7' x 1.7'',,,
49,Little Sombrero Galaxy,spiral,11.6,Pegasus,40 Mly,5.5' x 2.3'',,,
50,Maffei I,elliptical,11.14,Cassiopeia,2.86 Mly,3.36' x 1.68'',,,
51,Maffei II,spiral,16,Cassiopeia,9.8 Mly,15.2' x 7'',,,
52,Malin 1,spiral,15.8,Coma Berenices,1190 Mly,0.22 x 0.20'',,,
53,Mayall's Object,galaxy pair,,Ursa Major,450 Mly,,,,
54,McLeish's Object,barred spiral,10.7,Virgo,54.1 Mly,11.8' x 11'',NGC 4535 ,,
55,Medusa Merger,galaxy pair,16.3,Ursa Major,128.8 Mly,0.14' x 0.13'',NGC 4194,,
56,Messier 110,elliptical dwarf,8.9,Andromeda,,21.9' x 11'',,M110,
57,Messier 32,dwarf,8.1,Andromeda,2.49 Mly,8.7' x 6.5'',,M32,
58,Mice Galaxies,spiral pair,14.5,Coma Berenices,290 Mly,2.3' x 0.8'',,,
59,Minkowski's Object,lenticular,12.2,Cetus,230 Mly,1.8' x 1.7'',NGC 541,,
60,Needle Galaxy,spiral,10.42,Coma Berenices,42.7 Mly,15.9' x 1.85'',,,C38
61,Pegasus Dwarf,irregular dwarf,13.2,Pegasus,3 Mly,5' x 2.7'',,,
62,Perseus A,Seyfert,12.6,Perseus,222 Mly,2.2' x 1.7'',NGC 1275,,C24
63,Phoenix Dwarf,irregular dwarf,13.1,Phoenix,1.44 Mly,4.9' x 4.1'',,,
64,Pinwheel Galaxy,spiral,7.86,Ursa Major,20.9 Mly,28.8 x 26.9'',,M101,
65,Pisces Cloud,galaxy group,12.14,Pisces,206.7 Mly,,NGC 383,,
66,Pisces Dwarf,irregular dwarf,14.2,Pisces,2.51 Mly,2' x 2'',,,
67,Reinmuth 80,spiral,12.4,Virgo,40 Mly,10.73' x 1.7'',NGC 4517A,,
68,Sagittarius Dwarf,elliptical dwarf,4.5,Sagittarius,0.065 Mly,450' x 216'',,,
69,Sculptor Dwarf Galaxy,elliptical dwarf,10.1,Sculptor,0.29 Mly,,,,
70,Sculptor Galaxy,spiral,8,Sculptor,11.4 Mly,27.5' x 6.8'',,,C65
71,Seashell Galaxy,galaxy group,14.1,Centaurus,280 Mly,,,,
72,Sextans A,irregular dwarf,11.9,Sextans,4.31 Mly,5.9' x 4.9'',,,
73,Sextans B,irregular dwarf,11.9,Sextans,4.44 Mly,5.1' x 3.5'',,,
74,Seyfert's Sextet,galaxy group,14.7,Serpens,190 Mly,,NGC 6027A-E,,
75,Small Magellanic Cloud,irregular dwarf,2.7,Tucana,0.2 Mly,5&deg 20' x 3Â° 5'',,,
76,Sombrero Galaxy,lenticular,8.98,Virgo,31.1 Mly,9' x 4'',NGC 4594,M104,
77,Southern Pinwheel Galaxy,barred spiral,7.54,Hydra,14.7 Mly,12.9' x 11.5'',,M83,
78,Spindle Galaxy,lenticular,10.7,Draco,50 Mly,4.7' x 1.9'',,M102,
79,Spindle Galaxy,lenticular,10.7,Draco,31.6 Mly,7.2' x 2.5'',,,C53
80,Spindle Galaxy,lenticular,9.9,Sextans,50 Mly,4.7' x 1.9'',,M102,
81,Spindle Galaxy,lenticular,9.9,Sextans,31.6 Mly,7.2' x 2.5'',,,C53
82,Stephan's Quintet,galaxy group,14.4,Pegasus,,,NGC 7317-20,,
83,Sunflower Galaxy,spiral,9.3,Canes Venatici,29.3 Mly,12.6' x 7.2'',,M63,
84,Tadpole Galaxy,barred spiral,14.4,Draco,400 Mly,3.6' x 0.8'',,,
85,The Guitar,galaxy pair,14.5,Ursa Major,412 Mly,1.36' x 0.69'',NGC 3561A/B,,
86,Triangulum Galaxy,spiral,5.72,Triangulum,2.73 Mly,70.8' x 41.7'',NGC 0598,M33,
87,Ursa Minor Dwarf,spheroidal dwarf,11.9,Ursa Minor,0.2 Mly,30.2' x 19.1'',,,
88,Virgo A,elliptical supergiant,8.79,Virgo,53.4 Mly,7.2' x 6.8'',NGC 4486 ,M87,
89,Whale galaxy,barred spiral,9.8,Canes Venatici,30 Mly,15.5' x 2.7'',,,C32
90,Whirlpool Galaxy,spiral,8.4,Ursa Major,23 Mly,11.2' x 6.9'',NGC 5194,M51,
91,Wild's Triplet,spiral,,Virgo,,,,,
92,Wolf-Lundmark-Melotte,barred irregular,11,Cetus,3.04 Mly,11.5' x 4.2'',,,
93,Milky Way,barred spiral galaxy,21,Sagittarius,25000 Mly,5.2' x 3.1'',,,
